index,cycleway_road_50m,footway_road_50m,living_street_road_50m,path_road_50m,pedestrian_road_50m,primary_road_50m,residential_road_50m,secondary_road_50m,secondary_link_road_50m,service_road_50m,steps_road_50m,tertiary_road_50m,tertiary_link_road_50m,trunk_road_50m,trunk_link_road_50m,unclassified_road_50m,cycleway_road_100m,footway_road_100m,living_street_road_100m,path_road_100m,pedestrian_road_100m,primary_road_100m,residential_road_100m,secondary_road_100m,secondary_link_road_100m,service_road_100m,steps_road_100m,tertiary_road_100m,tertiary_link_road_100m,trunk_road_100m,trunk_link_road_100m,unclassified_road_100m,cycleway_road_500m,footway_road_500m,living_street_road_500m,motorway_road_500m,motorway_link_road_500m,path_road_500m,pedestrian_road_500m,primary_road_500m,primary_link_road_500m,residential_road_500m,secondary_road_500m,secondary_link_road_500m,service_road_500m,steps_road_500m,tertiary_road_500m,tertiary_link_road_500m,track_road_500m,trunk_road_500m,trunk_link_road_500m,unclassified_road_500m,cycleway_road_1000m,footway_road_1000m,living_street_road_1000m,motorway_road_1000m,motorway_link_road_1000m,path_road_1000m,pedestrian_road_1000m,primary_road_1000m,primary_link_road_1000m,residential_road_1000m,secondary_road_1000m,secondary_link_road_1000m,service_road_1000m,steps_road_1000m,tertiary_road_1000m,tertiary_link_road_1000m,track_road_1000m,trunk_road_1000m,trunk_link_road_1000m,unclassified_road_1000m,unknown_road_1000m,cycleway_road_1500m,footway_road_1500m,living_street_road_1500m,motorway_road_1500m,motorway_link_road_1500m,path_road_1500m,pedestrian_road_1500m,primary_road_1500m,primary_link_road_1500m,residential_road_1500m,secondary_road_1500m,secondary_link_road_1500m,service_road_1500m,steps_road_1500m,tertiary_road_1500m,tertiary_link_road_1500m,track_road_1500m,track_grade4_road_1500m,trunk_road_1500m,trunk_link_road_1500m,unclassified_road_1500m,unknown_road_1500m,bridleway_road_2000m,cycleway_road_2000m,footway_road_2000m,living_street_road_2000m,motorway_road_2000m,motorway_link_road_2000m,path_road_2000m,pedestrian_road_2000m,primary_road_2000m,primary_link_road_2000m,residential_road_2000m,secondary_road_2000m,secondary_link_road_2000m,service_road_2000m,steps_road_2000m,tertiary_road_2000m,tertiary_link_road_2000m,track_road_2000m,track_grade4_road_2000m,trunk_road_2000m,trunk_link_road_2000m,unclassified_road_2000m,unknown_road_2000m
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4396.4636197319605,0.0,0.0,0.0,0.0,0.0,0.0,21982.318098680524,210402.18751594212,0.0,0.0,0.0,0.0,0.0,34543.642726497965,12561.324627817445,53385.62966822413,0.0,0.0,153876.22669076367,12561.324627817445,78508.27892385902,18841.986941726165,0.0,21982.318098680524,65946.95429604157,0.0,94209.93470864317,916976.6978307934,0.0,0.0,0.0,6280.6623139095445,0.0,94209.93470864317,81648.61008082407,464769.0112293063,119332.58396428137,18841.98694172863,860450.7370056076,62806.62313909545,345436.427265025,56525.9608251859,0.0,69087.285453005,163297.22016164815,18841.98694172863,0.0,292050.7975967875,2166828.498298746,0.0,0.0,0.0,37683.973883456456,0.0,178998.87594641818,197840.8628881464,1384886.0402170247,499312.653955798,75367.94776691291,1705199.8182264047,122472.91512123348,876152.3927903626,150735.89553382582,0.0,0.0,263787.8171841952,499312.653955798,65946.9542960488,0.0,0.0,565259.6082518772,3529732.220417278,12561.324627819497,0.0,0.0,75367.94776691697,0.0,414523.7127180433,276349.1418120289,2951911.2875375813,1130519.2165037545,238665.1679285704,2977033.93679322,276349.1418120289,2575071.548702996,339155.7649511264,0.0,0.0,602943.5821353358,929538.0224586426,288910.4664398484,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3140.3311569543607,0.0,0.0,0.0,12561.324627819087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18841.98694172863,0.0,0.0,0.0,0.0,75367.94776691291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9420.993470864114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28262.98041259234,0.0,0.0,0.0,12561.324627819497,0.0,175858.54478947291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12561.324627819497,0.0,0.0,0.0,0.0,0.0,50245.29851127798,0.0,100490.59702255596,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,314.0331156956783,0.0,0.0,0.0,0.0,314.0331156956783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.1324627805602,0.0,0.0,0.0,0.0,628.0662313902801,0.0,0.0,0.0,0.0,9420.993470863084,21982.318098680524,0.0,6280.662313908721,0.0,0.0,0.0,0.0,0.0,56525.960825178496,12561.324627817445,3140.3311569543607,15701.655784771803,0.0,25122.64925563489,0.0,0.0,18841.986941726165,0.0,18841.986941726165,43964.63619736681,483610.9981710349,0.0,31403.311569547725,62806.62313909545,0.0,12561.324627819087,0.0,0.0,326594.4403232963,320313.7780093868,25122.64925563817,251226.4925563818,56525.9608251859,477330.3358571254,12561.324627819087,0.0,106771.25933646226,31403.311569547725,150735.89553382905,0.0,254366.82371333108,1771146.7725224537,0.0,65946.9542960488,188419.8694172823,9420.993470864114,28262.98041259234,0.0,0.0,1008046.3013824602,876152.3927903626,197840.8628881464,1092835.2426202372,282629.80412592343,1281255.1120375197,160156.88900468993,0.0,0.0,471049.6735432057,254366.82371333108,405102.7192471569,0.0,0.0,376839.7388345848,3253383.078605249,0.0,100490.59702255596,263787.8171842094,12561.324627819497,50245.29851127798,75367.94776691697,0.0,2399213.003913524,1482236.3060827004,439646.3619736823,2348967.7054022453,565259.6082518772,2512264.925563899,376839.7388345848,12561.324627819497,0.0,904415.3732030035,690872.8545300722,753679.4776691697,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0662313902801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.1986941708403,0.0,0.0,0.0,0.0,0.0,113051.921650357,0.0,0.0,0.0,25122.64925563489,0.0,0.0,0.0,3140.3311569543607,0.0,0.0,0.0,3140.3311569543607,59666.29198213285,6280.662313908721,0.0,6280.662313908721,6280.662313908721,3140.3311569543607,6280.6623139095445,690872.85453005,0.0,0.0,0.0,50245.29851127636,0.0,12561.324627819087,0.0,131893.90859210043,138174.57090601,0.0,138174.57090601,81648.61008082407,263787.81718420086,12561.324627819087,0.0,62806.62313909545,169577.8824755577,75367.94776691453,0.0,47104.96735432057,2279880.419949116,47104.96735432057,0.0,0.0,122472.91512123348,18841.986941728228,47104.96735432057,9420.993470864114,951520.3405572756,433365.6996597492,18841.986941728228,480470.6670140698,254366.82371333108,866731.3993194985,131893.9085920976,0.0,0.0,141314.90206296172,423944.7061888852,131893.9085920976,0.0,0.0,100490.59702255596,4949161.903360881,62806.62313909747,0.0,100490.59702255596,175858.54478947291,50245.29851127798,464769.0112293213,113051.92165037546,2135425.1867293143,753679.4776691697,75367.94776691697,1105396.5672481155,766240.8022969891,2097741.2128458554,477330.3358571408,0.0,0.0,715995.5037857112,1155641.8657593934,540136.9589962383,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.1324627805602,0.0,628.0662313902801,0.0,628.0662313902801,0.0,0.0,0.0,628.0662313902801,0.0,87929.2723947221,0.0,0.0,0.0,3140.3311569543607,0.0,0.0,0.0,69087.28545299593,21982.318098680524,0.0,25122.64925563489,0.0,3140.3311569543607,0.0,6280.662313908721,0.0,0.0,21982.318098680524,0.0,565259.608251859,0.0,50245.29851127636,87929.27239473362,37683.97388345726,6280.6623139095445,25122.64925563817,0.0,401962.3880902109,119332.58396428137,18841.98694172863,238665.1679285627,50245.29851127636,144455.23321991952,12561.324627819087,25122.64925563817,138174.57090601,94209.93470864317,125613.2462781909,0.0,28262.98041259234,1469674.9814548015,0.0,150735.89553382582,131893.9085920976,122472.91512123348,9420.993470864114,160156.88900468993,18841.986941728228,1403728.027158753,282629.80412592343,37683.973883456456,631206.5625478956,273208.8106550593,423944.7061888852,18841.986941728228,84788.94123777702,0.0,329734.771480244,254366.82371333108,423944.7061888852,0.0,0.0,87929.27239473646,2424335.6531691626,0.0,226103.8433007509,226103.8433007509,263787.8171842094,25122.64925563899,351717.08957894583,25122.64925563899,2863982.015142845,452207.6866015018,113051.92165037546,1984689.29119548,364278.41420676536,1130519.2165037545,62806.62313909747,125613.24627819494,0.0,590382.2575075163,364278.41420676536,929538.0224586426,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,314.0331156956783,0.0,0.0,314.0331156956783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512.2649255611204,0.0,0.0,628.0662313902801,0.0,0.0,0.0,0.0,0.0,0.0,6280.662313908721,12561.324627817445,0.0,0.0,0.0,0.0,0.0,9420.993470863084,0.0,91069.60355167648,18841.986941726165,0.0,59666.29198213285,18841.986941726165,56525.960825178496,0.0,0.0,9420.993470863084,15701.655784771803,3140.3311569543607,113051.9216503718,244945.83024247224,125613.2462781909,0.0,0.0,12561.324627819087,0.0,138174.57090601,0.0,533856.2966823113,87929.27239473362,6280.6623139095445,533856.2966823113,157016.55784773862,427085.037345849,131893.90859210043,0.0,119332.58396428137,106771.25933646226,43964.63619736681,0.0,339155.7649511081,1479095.974925666,188419.8694172823,0.0,0.0,18841.986941728228,18841.986941728228,273208.8106550593,0.0,1243571.1381540631,452207.68660147744,141314.90206296172,1658094.850872084,433365.6996597492,1318939.085920976,697153.5168439444,0.0,0.0,452207.68660147744,357997.7518928364,160156.88900468993,0.0,0.0,502452.9851127798,2863982.015142845,276349.1418120289,0.0,0.0,25122.64925563899,25122.64925563899,515014.3097405993,37683.973883458486,2838859.3658872056,778802.1269248087,288910.4664398484,4622567.463037574,602943.5821353358,2612755.522586455,1105396.5672481155,12561.324627819497,0.0,879292.7239473646,628066.2313909747,326594.4403233069,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,314.0331156956783,0.0,0.0,314.0331156956783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0662313902801,0.0,0.0,0.0,0.0,1256.1324627805602,0.0,0.0,628.0662313902801,0.0,628.0662313902801,0.0,0.0,0.0,0.0,21982.318098680524,31403.311569543606,0.0,0.0,0.0,0.0,0.0,12561.324627817445,0.0,91069.60355167648,6280.662313908721,0.0,125613.24627817444,18841.986941726165,3140.3311569543607,0.0,0.0,0.0,0.0,12561.324627817445,276349.14181202,1419429.6829435572,0.0,0.0,0.0,56525.9608251859,18841.98694172863,113051.9216503718,18841.98694172863,301471.7910676581,56525.9608251859,37683.97388345726,1394307.033687919,251226.4925563818,50245.29851127636,6280.6623139095445,0.0,0.0,0.0,125613.2462781909,0.0,1026888.2883241884,6500485.494896239,0.0,0.0,0.0,405102.7192471569,141314.90206296172,282629.80412592343,47104.96735432057,998625.307911596,405102.7192471569,113051.92165036936,4022764.2120589768,847889.4123777703,593522.5886644392,122472.91512123348,0.0,0.0,56525.96082518468,75367.94776691291,452207.68660147744,0.0,0.0,1884198.694172924,11945819.72105634,12561.324627819497,0.0,0.0,1055151.2687368377,326594.4403233069,401962.38809022383,100490.59702255596,2939349.962909762,766240.8022969891,163297.22016165344,7662408.022969891,1344061.735176686,1733462.7986390905,389401.0634624044,0.0,0.0,200981.19404511192,263787.8171842094,690872.8545300722,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6280.662313908721,0.0,0.0,0.0,0.0,3140.3311569543607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18841.98694172863,0.0,0.0,0.0,0.0,25122.64925563817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28262.98041259234,18841.986941728228,113051.92165036936,0.0,0.0,0.0,0.0,84788.94123777702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37683.973883458486,25122.64925563899,615504.9067631552,25122.64925563899,0.0,0.0,0.0,150735.89553383394,0.0,0.0,0.0,0.0,0.0,75367.94776691697,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0662313902801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15701.655784771803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3140.3311569543607,0.0,31403.311569543606,3140.3311569543607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69087.285453005,0.0,0.0,0.0,75367.94776691453,0.0,0.0,0.0,100490.59702255273,25122.64925563817,0.0,62806.62313909545,6280.6623139095445,0.0,0.0,0.0,0.0,0.0,6280.6623139095445,0.0,18841.986941728228,310892.7845385158,18841.986941728228,0.0,0.0,169577.88247555404,0.0,0.0,0.0,414523.712718021,75367.94776691291,0.0,254366.82371333108,18841.986941728228,9420.993470864114,0.0,0.0,0.0,0.0,0.0,9420.993470864114,0.0,0.0,25122.64925563899,803924.7761804477,37683.973883458486,0.0,0.0,226103.8433007509,0.0,0.0,0.0,854170.0746917257,163297.22016165344,0.0,577820.9328796967,25122.64925563899,125613.24627819494,12561.324627819497,12561.324627819497,0.0,0.0,0.0,25122.64925563899,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0331156956783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0662313902801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9420.993470863084,6280.662313908721,9420.993470863084,3140.3311569543607,25122.64925563489,0.0,12561.324627817445,15701.655784771803,0.0,0.0,0.0,21982.318098680524,0.0,0.0,0.0,0.0,6280.662313908721,0.0,0.0,0.0,69087.285453005,12561.324627819087,56525.9608251859,6280.6623139095445,113051.9216503718,0.0,62806.62313909545,100490.59702255273,25122.64925563817,6280.6623139095445,0.0,62806.62313909545,0.0,0.0,0.0,0.0,194700.5317311959,0.0,0.0,103630.92817950524,0.0,131893.9085920976,56525.96082518468,122472.91512123348,9420.993470864114,188419.8694172823,18841.986941728228,339155.7649511081,178998.87594641818,37683.973883456456,47104.96735432057,37683.973883456456,235524.8367716029,56525.96082518468,0.0,0.0,0.0,0.0,508733.64742666215,0.0,0.0,0.0,427085.0373458628,0.0,200981.19404511192,213542.51867293144,163297.22016165344,12561.324627819497,301471.7910676679,25122.64925563899,866731.3993195451,351717.08957894583,62806.62313909747,314033.11569548736,200981.19404511192,414523.7127180433,238665.1679285704,0.0,0.0,0.0,0.0,942099.347086462,0.0
